,ID,Area,City,Restaurant,price,avg_ratings,total_ratings,food_type,Address,delivery_time,Price_range,Rating_range,Delivery_range,primary_cuisine,num_of_cuisines,popularity_scores,Pop_bracket
8240,394087,Charminar,Hyderabad,Italian Hub,250.0,2.9,80,"European,American,Chinese",Charminar,45,mid range,below avg rated,Moderate,European,3,12.743902548550073,Medium Popularity
8241,394156,Prahlad Nagar,Ahmedabad,Gajananad Pauva House,300.0,4.2,50,"South Indian,Beverages",Prahlad Nagar,37,mid range,High rated,Fast Delivery,South Indian,2,16.51366765744217,Medium Popularity
8242,394204,Basavanagudi,Bangalore,Friendly Neighbourhood Pizza-Man Vv Puram,260.0,2.9,80,Pizzas,Basavanagudi,47,mid range,below avg rated,Moderate,Pizzas,1,12.743902548550073,Medium Popularity
8243,394247,Kilpauk,Chennai,Friends Food Court,250.0,4.0,20,"South Indian,North Indian,Chaat,Chinese,Juices,Beverages",Kilpauk,63,mid range,avg rated,slow ,South Indian,6,12.178089750893692,Medium Popularity
8244,394400,Chandkheda,Ahmedabad,Tasteez Food,100.0,4.2,20,Indian,Chandkheda,71,budget,High rated,slow ,Indian,1,12.786994238438377,Medium Popularity
8245,394541,Perambur,Chennai,A Plus Tea,100.0,2.9,80,Beverages,Perambur,60,budget,below avg rated,slow ,Beverages,1,12.743902548550073,Medium Popularity
8246,395439,Adajan,Surat,Shree Kathiyawadi Khadki,250.0,4.3,1000,"Gujarati,Thalis,North Indian,Rajasthani,Desserts,Punjabi",Adajan,46,mid range,High rated,Moderate,Gujarati,6,29.707645551055446,High Popularity
8247,395519,Himayath Nagar,Hyderabad,Wahh Chaap,300.0,4.1,500,"North Indian,Biryani",Himayath Nagar,31,mid range,High rated,Fast Delivery,North Indian,2,25.488085014447943,High Popularity
8248,395830,Rajajinagar,Bangalore,Swagat Restaurant,350.0,4.1,20,"Indian,Beverages,Ice Cream",Rajajinagar,57,mid range,High rated,slow ,Indian,3,12.482541994666033,Medium Popularity
8249,395831,Prahlad Nagar,Ahmedabad,Jay Shree Krishna Fresh Fruit Juice Vegetable Juic,150.0,2.9,80,"Beverages,Juices",Prahlad Nagar,49,budget,below avg rated,Moderate,Beverages,2,12.743902548550073,Medium Popularity
8250,395848,Himayath Nagar,Hyderabad,Vinayak Tiffins,100.0,2.9,80,South Indian,Himayath Nagar,33,budget,below avg rated,Fast Delivery,South Indian,1,12.743902548550073,Medium Popularity
8251,395927,Hatibagan,Kolkata,Nic Natural Ice Creams,120.0,4.8,500,"Ice Cream,Desserts",Arabinda Sarani,37,budget,High rated,Fast Delivery,Ice Cream,2,29.83970928520735,High Popularity
